match_id,match_id,TEAM_ID,season
22000160,22000160,1610612738,2020
22000160,22000160,1610612741,2020
22001004,22001004,1610612753,2020
22001004,22001004,1610612766,2020
22001005,22001005,1610612750,2020
22001005,22001005,1610612748,2020
22001006,22001006,1610612745,2020
22001006,22001006,1610612749,2020
22001007,22001007,1610612739,2020
22001007,22001007,1610612742,2020
22001008,22001008,1610612743,2020
22001008,22001008,1610612762,2020
22001009,22001009,1610612752,2020
22001009,22001009,1610612756,2020
22001010,22001010,1610612747,2020
22001010,22001010,1610612757,2020
22001011,22001011,1610612759,2020
22001011,22001011,1610612758,2020
22000434,22000434,1610612741,2020
22000434,22000434,1610612766,2020
22000997,22000997,1610612764,2020
22000997,22000997,1610612761,2020
22000998,22000998,1610612751,2020
22000998,22000998,1610612742,2020
22000999,22000999,1610612763,2020
22000999,22000999,1610612765,2020
22001000,22001000,1610612737,2020
22001000,22001000,1610612754,2020
22001001,22001001,1610612760,2020
22001001,22001001,1610612744,2020
22001002,22001002,1610612747,2020
22001002,22001002,1610612746,2020
22000990,22000990,1610612738,2020
22000990,22000990,1610612753,2020
22000991,22000991,1610612757,2020
22000991,22000991,1610612739,2020
22000183,22000183,1610612763,2020
22000183,22000183,1610612750,2020
22000235,22000235,1610612764,2020
22000235,22000235,1610612749,2020
22000992,22000992,1610612756,2020
22000992,22000992,1610612737,2020
22000993,22000993,1610612758,2020
22000993,22000993,1610612754,2020
22000994,22000994,1610612755,2020
22000994,22000994,1610612745,2020
22000995,22000995,1610612752,2020
22000995,22000995,1610612743,2020
22000996,22000996,1610612759,2020
22000996,22000996,1610612762,2020
22000983,22000983,1610612756,2020
22000983,22000983,1610612739,2020
22000984,22000984,1610612766,2020
22000984,22000984,1610612765,2020
22000985,22000985,1610612751,2020
22000985,22000985,1610612749,2020
22000986,22000986,1610612742,2020
22000986,22000986,1610612748,2020
22000987,22000987,1610612744,2020
22000987,22000987,1610612740,2020
22000988,22000988,1610612758,2020
22000988,22000988,1610612760,2020
22000989,22000989,1610612761,2020
22000989,22000989,1610612746,2020
22000975,22000975,1610612753,2020
22000975,22000975,1610612765,2020
22000976,22000976,1610612754,2020
22000976,22000976,1610612764,2020
22000977,22000977,1610612744,2020
22000977,22000977,1610612740,2020
22000978,22000978,1610612757,2020
22000978,22000978,1610612737,2020
22000979,22000979,1610612755,2020
22000979,22000979,1610612741,2020
22000980,22000980,1610612752,2020
22000980,22000980,1610612763,2020
22000981,22000981,1610612759,2020
22000981,22000981,1610612762,2020
22000982,22000982,1610612743,2020
22000982,22000982,1610612747,2020
22000967,22000967,1610612751,2020
22000967,22000967,1610612749,2020
22000968,22000968,1610612757,2020
22000968,22000968,1610612738,2020
22000969,22000969,1610612748,2020
22000969,22000969,1610612766,2020
22000970,22000970,1610612758,2020
22000970,22000970,1610612742,2020
22000971,22000971,1610612752,2020
22000971,22000971,1610612745,2020
22000972,22000972,1610612756,2020
22000972,22000972,1610612760,2020
22000973,22000973,1610612755,2020
22000973,22000973,1610612759,2020
22000974,22000974,1610612761,2020
22000974,22000974,1610612747,2020
22000957,22000957,1610612765,2020
22000957,22000957,1610612766,2020
22000958,22000958,1610612744,2020
22000958,22000958,1610612745,2020
22000959,22000959,1610612741,2020
22000959,22000959,1610612737,2020
22000960,22000960,1610612748,2020
22000960,22000960,1610612739,2020
22000961,22000961,1610612763,2020
22000961,22000961,1610612753,2020
22000962,22000962,1610612740,2020
22000962,22000962,1610612750,2020
22000963,22000963,1610612754,2020
22000963,22000963,1610612760,2020
22000964,22000964,1610612764,2020
22000964,22000964,1610612742,2020
22000965,22000965,1610612761,2020
22000965,22000965,1610612762,2020
22000966,22000966,1610612743,2020
22000966,22000966,1610612746,2020
22000949,22000949,1610612737,2020
22000949,22000949,1610612755,2020
22000950,22000950,1610612759,2020
22000950,22000950,1610612738,2020
22000951,22000951,1610612764,2020
22000951,22000951,1610612739,2020
22000952,22000952,1610612757,2020
22000952,22000952,1610612751,2020
22000953,22000953,1610612753,2020
22000953,22000953,1610612763,2020
22000954,22000954,1610612749,2020
22000954,22000954,1610612741,2020
22000955,22000955,1610612762,2020
22000955,22000955,1610612756,2020
22000956,22000956,1610612758,2020
22000956,22000956,1610612747,2020
22000943,22000943,1610612742,2020
22000943,22000943,1610612765,2020
22000944,22000944,1610612751,2020
22000944,22000944,1610612754,2020
22000945,22000945,1610612749,2020
22000945,22000945,1610612745,2020
22000946,22000946,1610612744,2020
22000946,22000946,1610612750,2020
22000947,22000947,1610612740,2020
22000947,22000947,1610612760,2020
22000948,22000948,1610612761,2020
22000948,22000948,1610612743,2020
22000933,22000933,1610612753,2020
22000933,22000933,1610612739,2020
22000934,22000934,1610612737,2020
22000934,22000934,1610612755,2020
22000935,22000935,1610612747,2020
22000935,22000935,1610612764,2020
22000936,22000936,1610612766,2020
22000936,22000936,1610612738,2020
22000937,22000937,1610612741,2020
22000937,22000937,1610612752,2020
22000938,22000938,1610612759,2020
22000938,22000938,1610612748,2020
22000939,22000939,1610612757,2020
22000939,22000939,1610612763,2020
22000940,22000940,1610612740,2020
22000940,22000940,1610612743,2020
22000941,22000941,1610612746,2020
22000941,22000941,1610612756,2020
22000942,22000942,1610612762,2020
22000942,22000942,1610612758,2020
22000927,22000927,1610612760,2020
22000927,22000927,1610612738,2020
22000928,22000928,1610612749,2020
22000928,22000928,1610612766,2020
22000929,22000929,1610612757,2020
22000929,22000929,1610612754,2020
22000930,22000930,1610612751,2020
22000930,22000930,1610612761,2020
22000931,22000931,1610612750,2020
22000931,22000931,1610612745,2020
22000932,22000932,1610612742,2020
22000932,22000932,1610612744,2020
22000916,22000916,1610612737,2020
22000916,22000916,1610612765,2020
22000917,22000917,1610612747,2020
22000917,22000917,1610612753,2020
22000918,22000918,1610612760,2020
22000918,22000918,1610612755,2020
22000919,22000919,1610612759,2020
22000919,22000919,1610612764,2020
22000920,22000920,1610612756,2020
22000920,22000920,1610612752,2020
22000921,22000921,1610612739,2020
22000921,22000921,1610612761,2020
22000922,22000922,1610612741,2020
22000922,22000922,1610612748,2020
22000923,22000923,1610612762,2020
22000923,22000923,1610612750,2020
22000924,22000924,1610612746,2020
22000924,22000924,1610612740,2020
22000925,22000925,1610612763,2020
22000925,22000925,1610612743,2020
22000926,22000926,1610612742,2020
22000926,22000926,1610612758,2020
22000911,22000911,1610612738,2020
22000911,22000911,1610612766,2020
22000912,22000912,1610612756,2020
22000912,22000912,1610612751,2020
22000240,22000240,1610612763,2020
22000240,22000240,1610612757,2020
22000197,22000197,1610612739,2020
22000197,22000197,1610612764,2020
22000913,22000913,1610612749,2020
22000913,22000913,1610612737,2020
22000914,22000914,1610612754,2020
22000914,22000914,1610612753,2020
22000915,22000915,1610612758,2020
22000915,22000915,1610612744,2020
22000904,22000904,1610612761,2020
22000904,22000904,1610612752,2020
22000905,22000905,1610612755,2020
22000905,22000905,1610612749,2020
22000906,22000906,1610612765,2020
22000906,22000906,1610612754,2020
22000264,22000264,1610612759,2020
22000264,22000264,1610612740,2020
22000907,22000907,1610612741,2020
22000907,22000907,1610612748,2020
22000908,22000908,1610612747,2020
22000908,22000908,1610612742,2020
22000909,22000909,1610612750,2020
22000909,22000909,1610612762,2020
22000910,22000910,1610612745,2020
22000910,22000910,1610612743,2020
22000898,22000898,1610612748,2020
22000898,22000898,1610612737,2020
22000899,22000899,1610612738,2020
22000899,22000899,1610612751,2020
22000900,22000900,1610612739,2020
22000900,22000900,1610612766,2020
22000901,22000901,1610612746,2020
22000901,22000901,1610612745,2020
22000902,22000902,1610612764,2020
22000902,22000902,1610612760,2020
22000225,22000225,1610612763,2020
22000225,22000225,1610612757,2020
22000903,22000903,1610612743,2020
22000903,22000903,1610612744,2020
22000892,22000892,1610612756,2020
22000892,22000892,1610612738,2020
22000893,22000893,1610612740,2020
22000893,22000893,1610612753,2020
22000894,22000894,1610612755,2020
22000894,22000894,1610612749,2020
22000895,22000895,1610612765,2020
22000895,22000895,1610612759,2020
22000896,22000896,1610612766,2020
22000896,22000896,1610612741,2020
22000897,22000897,1610612747,2020
22000897,22000897,1610612742,2020
22000881,22000881,1610612741,2020
22000881,22000881,1610612739,2020
22000882,22000882,1610612760,2020
22000882,22000882,1610612754,2020
22000883,22000883,1610612756,2020
22000883,22000883,1610612755,2020
22000884,22000884,1610612751,2020
22000884,22000884,1610612761,2020
22000885,22000885,1610612744,2020
22000885,22000885,1610612764,2020
22000886,22000886,1610612737,2020
22000886,22000886,1610612752,2020
22000887,22000887,1610612762,2020
22000887,22000887,1610612745,2020
22000442,22000442,1610612765,2020
22000442,22000442,1610612742,2020
22000888,22000888,1610612748,2020
22000888,22000888,1610612759,2020
22000889,22000889,1610612763,2020
22000889,22000889,1610612746,2020
22000890,22000890,1610612743,2020
22000890,22000890,1610612757,2020
22000891,22000891,1610612750,2020
22000891,22000891,1610612758,2020
22000876,22000876,1610612753,2020
22000876,22000876,1610612737,2020
22000877,22000877,1610612766,2020
22000877,22000877,1610612752,2020
22000878,22000878,1610612751,2020
22000878,22000878,1610612740,2020
22000879,22000879,1610612746,2020
22000879,22000879,1610612757,2020
22000880,22000880,1610612750,2020
22000880,22000880,1610612758,2020
22000868,22000868,1610612739,2020
22000868,22000868,1610612765,2020
22000869,22000869,1610612741,2020
22000869,22000869,1610612738,2020
22000870,22000870,1610612744,2020
22000870,22000870,1610612755,2020
22000473,22000473,1610612759,2020
22000473,22000473,1610612754,2020
22000871,22000871,1610612745,2020
22000871,22000871,1610612748,2020
22000872,22000872,1610612760,2020
22000872,22000872,1610612764,2020
22000873,22000873,1610612756,2020
22000873,22000873,1610612749,2020
22000874,22000874,1610612763,2020
22000874,22000874,1610612743,2020
22000875,22000875,1610612762,2020
22000875,22000875,1610612747,2020
22000861,22000861,1610612754,2020
22000861,22000861,1610612737,2020
22000862,22000862,1610612740,2020
22000862,22000862,1610612752,2020
22000863,22000863,1610612751,2020
22000863,22000863,1610612748,2020
22000362,22000362,1610612757,2020
22000362,22000362,1610612766,2020
22000864,22000864,1610612745,2020
22000864,22000864,1610612753,2020
22000865,22000865,1610612760,2020
22000865,22000865,1610612761,2020
22000866,22000866,1610612758,2020
