player_id,team_id,year,team_name
1867,1610612737,1996,Hawks
1860,1610612748,1996,Heat
1858,1610612743,1996,Nuggets
1855,1610612739,1996,Cavaliers
1853,1610612751,1996,Nets
1849,1610612756,1996,Suns
1895,1610612766,1996,Hornets
1846,1610612764,1996,Wizards
1842,1610612762,1996,Jazz
1841,1610612742,1996,Mavericks
1839,1610612748,1996,Heat
1838,1610612755,1996,76ers
1834,1610612750,1996,Timberwolves
1827,1610612766,1996,Hornets
1825,1610612741,1996,Bulls
1817,1610612748,1996,Heat
1813,1610612737,1996,Hawks
1810,1610612739,1996,Cavaliers
1808,1610612748,1996,Heat
1845,1610612738,1996,Celtics
1097,1610612761,1996,Raptors
1902,1610612760,1996,Thunder
1911,1610612763,1996,Grizzlies
2009,1610612751,1996,Nets
2007,1610612761,1996,Raptors
2004,1610612762,1996,Jazz
2003,1610612764,1996,Wizards
1999,1610612743,1996,Nuggets
1998,1610612746,1996,Clippers
1997,1610612757,1996,Trail Blazers
1993,1610612744,1996,Warriors
1990,1610612740,1996,Pelicans
1974,1610612737,1996,Hawks
1970,1610612744,1996,Warriors
1905,1610612739,1996,Cavaliers
1963,1610612747,1996,Lakers
1959,1610612752,1996,Knicks
1956,1610612747,1996,Lakers
1955,1610612756,1996,Suns
1950,1610612763,1996,Grizzlies
1949,1610612741,1996,Bulls
1945,1610612757,1996,Trail Blazers
1943,1610612764,1996,Wizards
1942,1610612760,1996,Thunder
1940,1610612752,1996,Knicks
1937,1610612745,1996,Rockets
1918,1610612748,1996,Heat
1960,1610612740,1996,Pelicans
1094,1610612760,1996,Thunder
1770,1610612759,1996,Spurs
1086,1610612737,1996,Hawks
382,1610612741,1996,Bulls
377,1610612742,1996,Mavericks
371,1610612753,1996,Magic
370,1610612760,1996,Thunder
369,1610612741,1996,Bulls
362,1610612757,1996,Trail Blazers
358,1610612761,1996,Raptors
355,1610612766,1996,Hornets
349,1610612738,1996,Celtics
348,1610612759,1996,Spurs
340,1610612738,1996,Celtics
334,1610612747,1996,Lakers
330,1610612760,1996,Thunder
327,1610612758,1996,Kings
325,1610612758,1996,Kings
322,1610612752,1996,Knicks
314,1610612737,1996,Hawks
301,1610612742,1996,Mavericks
296,1610612757,1996,Trail Blazers
294,1610612755,1996,76ers
283,1610612753,1996,Magic
